epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
50,4401.51,0.55438,0.37312,0.01839,0.04857,0.97096,0.94794,0.98629,0.93908,0.37647,0.20253,0.02812,0.03313,0.000572054,0.000572054,0.000572054
51,4501.28,0.56166,0.38124,0.01825,0.04811,0.95265,0.96046,0.98523,0.93764,0.38106,0.21579,0.02751,0.03509,0.000561055,0.000561055,0.000561055
52,4601.5,0.56474,0.37896,0.01914,0.05229,0.96082,0.96605,0.98587,0.93717,0.38963,0.20543,0.02925,0.03882,0.000550056,0.000550056,0.000550056
53,4702.01,0.58652,0.40662,0.01923,0.05261,0.95345,0.95643,0.98371,0.93274,0.39205,0.21722,0.02836,0.03898,0.000539057,0.000539057,0.000539057
54,4802.23,0.56147,0.38981,0.01832,0.05135,0.96583,0.95235,0.98552,0.93914,0.38964,0.20758,0.02918,0.0385,0.000528058,0.000528058,0.000528058
55,4901.84,0.56983,0.39744,0.01918,0.05275,0.95719,0.9464,0.98315,0.9339,0.39463,0.21497,0.02746,0.04118,0.000517059,0.000517059,0.000517059
56,5000.57,0.56722,0.3789,0.01962,0.04982,0.93322,0.97546,0.9855,0.93939,0.38763,0.21361,0.02752,0.04116,0.00050606,0.00050606,0.00050606
57,5101.15,0.54663,0.37748,0.01904,0.04776,0.95591,0.95096,0.98563,0.93969,0.36558,0.20204,0.02718,0.03336,0.000495062,0.000495062,0.000495062
58,5201.51,0.55804,0.36845,0.01887,0.04539,0.96419,0.95659,0.98554,0.9394,0.36751,0.19976,0.02794,0.03341,0.000484063,0.000484063,0.000484063
59,5299.76,0.55558,0.37974,0.01864,0.04837,0.96009,0.95759,0.98553,0.93881,0.37615,0.19569,0.02751,0.03861,0.000473064,0.000473064,0.000473064
60,5399,0.56688,0.38579,0.01858,0.04814,0.97068,0.95352,0.98482,0.93986,0.36332,0.19165,0.02724,0.03411,0.000462065,0.000462065,0.000462065
61,5499.16,0.56895,0.38715,0.01826,0.05262,0.96813,0.95371,0.98563,0.94123,0.36333,0.20165,0.02784,0.03107,0.000451066,0.000451066,0.000451066
62,5599.4,0.54389,0.3644,0.01904,0.04714,0.96483,0.95861,0.98677,0.94136,0.36553,0.20181,0.02825,0.03881,0.000440067,0.000440067,0.000440067
63,5699.73,0.56642,0.37581,0.01917,0.04807,0.9545,0.96349,0.9855,0.94085,0.36493,0.1913,0.02798,0.03365,0.000429068,0.000429068,0.000429068
64,5799.3,0.55125,0.39633,0.01836,0.04566,0.95056,0.96059,0.98411,0.93757,0.37434,0.20008,0.02836,0.03551,0.000418069,0.000418069,0.000418069
65,5899.78,0.56449,0.38348,0.01846,0.0479,0.96278,0.96362,0.98441,0.93838,0.37548,0.19435,0.02788,0.03908,0.00040707,0.00040707,0.00040707
66,5999.99,0.54687,0.36281,0.01885,0.05004,0.97142,0.95769,0.98511,0.93877,0.38415,0.18637,0.02742,0.04092,0.000396071,0.000396071,0.000396071
