epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,903.135,0.36818,0.31673,1.11611,0.99285,1,0.995,0.98361,0.27493,0.19024,1.06861,0.0072775,0.0072775,0.0072775
167,908.854,0.36587,0.32609,1.1216,0.99504,1,0.995,0.98704,0.27429,0.1986,1.05056,0.007261,0.007261,0.007261
168,914.015,0.35972,0.31287,1.11801,0.98866,0.99399,0.995,0.98727,0.26826,0.19873,1.05283,0.0072445,0.0072445,0.0072445
169,918.843,0.36985,0.32518,1.12682,0.99446,1,0.995,0.979,0.27781,0.19422,1.06798,0.007228,0.007228,0.007228
170,923.905,0.3557,0.31842,1.11553,0.9951,1,0.995,0.98385,0.26318,0.18405,1.05618,0.0072115,0.0072115,0.0072115
171,929.183,0.35163,0.30712,1.10617,0.99167,1,0.995,0.98119,0.2707,0.19054,1.0652,0.007195,0.007195,0.007195
172,934.444,0.37135,0.3232,1.13112,0.99323,1,0.995,0.98705,0.25934,0.18135,1.07583,0.0071785,0.0071785,0.0071785
173,939.83,0.35133,0.31426,1.12809,0.99113,0.99974,0.995,0.98063,0.28605,0.1912,1.1193,0.007162,0.007162,0.007162
174,945.041,0.36539,0.32112,1.13528,0.99061,0.99585,0.995,0.9836,0.27072,0.18255,1.07472,0.0071455,0.0071455,0.0071455
175,950.172,0.36683,0.32351,1.13394,0.99471,1,0.995,0.98193,0.27562,0.18504,1.06478,0.007129,0.007129,0.007129
176,955.454,0.35348,0.31472,1.11278,0.9917,1,0.995,0.98127,0.27036,0.17908,1.06516,0.0071125,0.0071125,0.0071125
177,960.565,0.35809,0.31234,1.11946,0.99311,1,0.995,0.98647,0.26701,0.17737,1.0549,0.007096,0.007096,0.007096
178,965.905,0.36026,0.31789,1.12047,0.99504,1,0.995,0.98509,0.26828,0.17487,1.05707,0.0070795,0.0070795,0.0070795
179,970.683,0.35495,0.31156,1.1181,0.99555,1,0.995,0.98305,0.26668,0.18092,1.05668,0.007063,0.007063,0.007063
180,975.423,0.34429,0.30833,1.09652,0.99285,1,0.995,0.9803,0.26754,0.1871,1.06212,0.0070465,0.0070465,0.0070465
