epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
69,912.232,0.91702,0.60956,0.03912,0.07141,0.94287,0.92716,0.96513,0.80572,0.6446,0.32026,0.05133,0.09484,0.0006536,0.0006536,0.0006536
70,925.107,0.97826,0.65955,0.04594,0.09107,0.95234,0.89809,0.96861,0.80234,0.66257,0.30814,0.0519,0.10598,0.0006338,0.0006338,0.0006338
71,937.96,0.89558,0.57493,0.04563,0.06848,0.94228,0.91713,0.96929,0.79767,0.6616,0.32856,0.05172,0.09697,0.000614,0.000614,0.000614
72,951.029,0.89129,0.55986,0.04206,0.08096,0.95437,0.92135,0.97054,0.7895,0.66512,0.31709,0.05224,0.09493,0.0005942,0.0005942,0.0005942
73,963.978,0.87365,0.547,0.04249,0.08276,0.94254,0.96629,0.98159,0.79727,0.66898,0.31973,0.05255,0.09248,0.0005744,0.0005744,0.0005744
74,976.873,0.93798,0.6389,0.04472,0.08195,0.95423,0.93714,0.98237,0.79178,0.66489,0.32493,0.05095,0.09988,0.0005546,0.0005546,0.0005546
75,990.216,0.87339,0.56476,0.04178,0.07836,0.94719,0.93258,0.9704,0.80018,0.63368,0.29343,0.05134,0.08403,0.0005348,0.0005348,0.0005348
76,1003.01,0.90682,0.61823,0.03972,0.08395,0.94479,0.92135,0.96993,0.80118,0.61717,0.29502,0.05201,0.08123,0.000515,0.000515,0.000515
77,1015.93,0.89994,0.59957,0.04429,0.08643,0.96223,0.96629,0.97487,0.80148,0.63674,0.27361,0.05313,0.08241,0.0004952,0.0004952,0.0004952
78,1028.9,0.91941,0.5835,0.04339,0.09456,0.95792,0.94382,0.98133,0.80827,0.62266,0.29193,0.05319,0.09143,0.0004754,0.0004754,0.0004754
79,1042.1,0.85315,0.60569,0.03953,0.07808,0.96581,0.95506,0.97622,0.79724,0.63798,0.29864,0.05204,0.09683,0.0004556,0.0004556,0.0004556
80,1055.01,0.8851,0.58569,0.04203,0.07479,0.93462,0.96376,0.9753,0.79561,0.62855,0.29458,0.05152,0.09742,0.0004358,0.0004358,0.0004358
81,1068.01,0.89989,0.60029,0.04348,0.08228,0.96508,0.9317,0.97195,0.81085,0.61044,0.30161,0.0511,0.08751,0.000416,0.000416,0.000416
82,1081.05,0.88713,0.56239,0.04311,0.08092,0.96585,0.95346,0.9756,0.81624,0.61059,0.27864,0.05164,0.09155,0.0003962,0.0003962,0.0003962
83,1094.16,0.86334,0.56662,0.04222,0.07591,0.93442,0.96068,0.96495,0.81501,0.60289,0.27542,0.0524,0.08422,0.0003764,0.0003764,0.0003764
84,1107.15,0.86912,0.55658,0.04314,0.09195,0.94461,0.95809,0.96623,0.8139,0.61332,0.28272,0.05316,0.08345,0.0003566,0.0003566,0.0003566
85,1120.4,0.85144,0.53903,0.04464,0.08044,0.94368,0.94127,0.96693,0.822,0.60196,0.28554,0.05284,0.08741,0.0003368,0.0003368,0.0003368
86,1133.51,0.91642,0.60003,0.04442,0.08463,0.95333,0.91812,0.96519,0.81452,0.61487,0.29144,0.05271,0.09313,0.000317,0.000317,0.000317
87,1146.48,0.7972,0.53162,0.04179,0.06252,0.95437,0.94005,0.96974,0.82597,0.60881,0.27267,0.05234,0.0913,0.0002972,0.0002972,0.0002972
88,1159.67,0.89942,0.57755,0.04323,0.08087,0.95444,0.94163,0.969,0.81112,0.6089,0.27718,0.05227,0.09019,0.0002774,0.0002774,0.0002774
89,1172.53,0.88592,0.57195,0.04327,0.07723,0.94154,0.94382,0.97042,0.81831,0.61884,0.27353,0.05287,0.08987,0.0002576,0.0002576,0.0002576
90,1185.4,0.85136,0.56898,0.04031,0.06813,0.95336,0.91867,0.96876,0.81832,0.61458,0.28195,0.05314,0.09037,0.0002378,0.0002378,0.0002378
